metric,ave,min,max
sliceNT,37.9704219826,25.7895435332,92.364784976
clipHFLX,50.7735883413,-1197.1640625,1798.11987305
clipNT,35.1271062622,25.7685699463,90.9274531715
lineS,-0.0600564658676,-5.07893304083,4.4496566424
lineNT,45.8794835988,28.6302432864,90.6777647178
volHFLX,273.432022586,-435.622624107,1309.98065054
probeU,-0.000919592509455,-0.000919592509455,-0.000919592509455
sliceHFLMag,81.3487981281,7.31615377746,1773.50428664
volNT,44.8770105311,28.5519410618,75.2574891688
probeNT,34.1633139159,34.1633139159,34.1633139159
